7_02_21_NDVI,TWI,Elevation,Slope,Insolation
0.3385358751,3.87911963,474.96670532,3.3720500469,23.907476425
0.3385358751,3.97352195,474.94281006,2.9078214169,23.788354874
0.3385358751,4.09021902,474.91955566,2.5476901531,23.823663712
0.3385358751,4.32690287,474.90151978,2.5920834541,23.952547073
0.3385358751,4.34175205,474.89318848,3.1611194611,23.952095032
0.2117195725,3.79091883,474.87741089,4.1132926941,23.8221035
0.2117195725,3.11933732,474.81463623,4.841673851,23.359085083
0.2117195725,2.59808922,474.73562622,5.1709470749,23.004774094
0.2117195725,2.26577258,474.67584229,5.4856982231,22.989583969
0.2117195725,2.07927608,474.60333252,5.7722158432,22.989583969
0.2117195725,1.99256968,474.50610352,6.0438141823,22.9897995
0.2117195725,2.00000501,474.38693237,6.2872071266,23.008102417
0.2117195725,2.02852774,474.25128174,6.7477517128,23.319999695
0.2117195725,2.04811001,474.10455322,7.5671520233,23.648197174
0.2117195725,2.04113817,473.94650269,8.4759368896,23.770946503
0.3385358751,3.74690914,474.96624756,3.882361412,23.846450806
0.3385358751,3.92156076,474.91000366,3.4974212646,23.687452316
0.3385358751,4.07192087,474.85852051,3.1762332916,23.321662903
0.3385358751,4.12335873,474.81970215,3.3392493725,23.008102417
0.3385358751,3.96860337,474.79196167,3.9663743973,22.9897995
0.2117195725,3.44761848,474.75280762,5.1509084702,22.964408875
0.2117195725,2.93186235,474.64883423,6.5233860016,22.385416031
0.2117195725,2.66152501,474.53216553,7.18968153,21.806423187
0.2117195725,2.46010804,474.45983887,7.4107398987,21.78125
0.2117195725,2.26811552,474.38540649,7.6464233398,21.78125
0.2117195725,2.19734001,474.28979492,7.8561358452,21.786241531
0.2117195725,2.18864179,474.17346191,8.0344581604,21.921152115
0.2117195725,2.20703959,474.03982544,8.2212743759,22.512079239
0.2117195725,2.23525,473.89230347,8.6665258408,23.289255142
0.2117195725,2.31713939,473.73400879,9.2822360992,23.547452927
0.3385358751,3.61258888,474.91809082,4.1957392693,23.816244125
0.3385358751,3.86525941,474.82849121,4.2041959763,23.33745575
0.3385358751,4.08129835,474.74996948,4.3492016792,22.518953323
0.3385358751,4.12662935,474.68515015,4.8234653473,21.931350708
0.3385358751,3.89639044,474.63287354,5.5209050179,21.801649094
0.2117195725,3.42029667,474.56637573,6.8961453438,21.895399094
0.2117195725,3.00043297,474.41992188,8.3861579895,21.640842438
0.2117195725,2.8979969,474.26489258,8.8998908997,21.276475906
0.2117195725,2.7053318,474.17776489,8.9654874802,21.260416031
0.2117195725,2.46825361,474.09927368,9.1526203156,21.260416031
0.2117195725,2.35563231,474.0038147,9.3056755066,21.265407562
0.2117195725,2.32830763,473.88949585,9.4186458588,21.391059875
0.2117195725,2.33901954,473.7578125,9.5273456573,21.775535583
0.2117195725,2.38412333,473.61068726,9.6805515289,22.489583969
0.2117195725,2.59752917,473.45147705,9.7700386047,22.89412117
0.3385358751,3.58377695,474.82394409,4.7307667732,22.988571167
0.3385358751,3.86426663,474.70410156,5.1346330643,22.509765625
0.3385358751,4.14659119,474.59634399,5.4940743446,21.910591125
0.3385358751,4.28582382,474.50704956,5.8491191864,21.636283875
0.3385358751,4.02610302,474.43127441,6.5170893669,21.520399094
0.2117195725,3.48480082,474.33520508,8.0702409744,21.6147995
0.2117195725,3.15859556,474.14758301,9.6292037964,21.375217438
0.2117195725,3.141047,473.95602417,9.9033470154,21.0258255
0.2117195725,2.94797564,473.85290527,9.7546920776,21.010416031
0.2117195725,2.67595768,473.76977539,9.8566017151,21.010416031
0.2117195725,2.51956367,473.67532349,9.9078550339,21.010633469
0.2117195725,2.46659946,473.56488037,9.8903627396,21.025608063
0.2117195725,2.46999621,473.43759155,9.8588485718,21.271484375
0.2117195725,2.54546475,473.29379272,9.8644971848,21.76707077
0.2117195725,2.86459756,473.13632202,9.8317260742,22.180725098
0.3385358751,3.68462157,474.71099854,5.413105011,22.070890427
0.3385358751,3.92024851,474.55856323,5.7890563011,22.010850906
0.3385358751,4.20490026,474.42120361,6.0713605881,21.755859375
0.3385358751,4.32668447,474.31454468,6.4384436607,21.515407562
0.3385358751,4.13762665,474.22055054,7.2896375656,21.500434875
0.2117195725,3.73263979,474.09237671,9.0743970871,21.4945755
0.2117195725,3.44514441,473.86462402,10.644251823,21.254991531
0.2117195725,3.40738916,473.63845825,10.623231888,21.010633469
0.2117195725,3.20288515,473.51837158,10.209540367,21
0.2117195725,2.88888693,473.431427,10.198057175,21
0.2117195725,2.68022203,473.34124756,10.146197319,21
0.2117195725,2.58849239,473.24023438,10.000660896,21.000434875
0.2117195725,2.57316732,473.12472534,9.8255386353,21.030815125
0.2117195725,2.66678929,472.99261475,9.6902179718,21.510271072
0.2117195725,3.05047774,472.84533691,9.7405500412,21.988618851
0.244080931,4.80650139,490.75076294,3.1208319664,23.941583633
0.244080931,4.88042688,490.73968506,3.1913175583,23.991127014
0.244080931,4.72569036,490.7121582,3.4637544155,23.999710083
0.244080931,4.43762159,490.66555786,3.9162640572,24
0.244080931,4.07227468,490.59384155,4.5294351578,24
0.244080931,3.76089931,490.48852539,5.2464551926,24
0.244080931,3.45468807,490.34057617,6.0477666855,24
0.244080931,3.00565386,490.13531494,7.1620416641,23.965995789
0.244080931,2.6033473,489.90563965,8.5676651001,23.848958969
0.244080931,2.39779449,489.64254761,9.6318998337,23.731264114
0.2518337369,2.37920284,489.31329346,10.054883003,23.484952927
0.2518337369,2.47128224,488.9602356,10.209825516,23.3695755
0.2518337369,2.59901643,488.60354614,10.314620972,23.484375
0.2518337369,2.74600387,488.24060059,10.401514053,23.614366531
0.2518337369,2.89472103,487.8762207,10.296051979,23.849391937
0.3543244302,3.03781915,487.52087402,9.8895654678,23.979166031
0.3543244302,3.18801785,487.18624878,9.1471090317,23.989583969
0.3543244302,3.33778977,486.88439941,8.0685758591,23.994791031
0.3543244302,3.60233021,486.62664795,6.7054581642,23.999565125
0.3543244302,3.93362236,486.42184448,5.324950695,23.9945755
0.3543244302,4.3453989,486.27365112,3.8716847897,23.984592438
0.3543244302,4.71119499,486.1802063,2.4747784138,23.972402573
0.3543244302,4.98203182,486.13739014,1.7248227596,23.824748993
0.3543244302,5.21254206,486.13623047,1.7349921465,23.180469513
0.3543244302,6.48374271,486.16143799,2.1249322891,22.400764465
0.3013972044,6.29973698,486.1946106,2.4542093277,22.251325607
0.3013972044,6.1043067,486.21566772,2.67517066,22.981422424
0.3013972044,5.81574154,486.20443726,2.9886894226,23.756896973
0.3013972044,5.23253965,486.13952637,3.7298293114,23.814573288
0.3013972044,4.65973091,486.00689697,5.1764941216,23.786136627
0.3933980465,3.01369858,475.58224487,5.0940380096,23.922079086
0.3933980465,2.94676542,475.48162842,5.4412679672,23.839603424
0.3933980465,2.85033941,475.35980225,5.6134214401,23.867259979
0.3933980465,2.86131454,475.19076538,5.6784420013,23.929252625
0.3933980465,2.96460605,474.99713135,5.7748432159,23.34375
0.3933980465,3.25829768,474.8086853,5.9358386993,22.519748688
0.2734402716,3.53968287,474.6204834,6.289993763,22.130641937
0.2734402716,3.80801392,474.43423462,6.6576685905,21.9945755
0.2734402716,4.16235495,474.26074219,7.0102725029,21.749782562
0.2734402716,4.3667984,474.11547852,7.6115999222,21.505208969
0.2734402716,4.24151325,473.9831543,8.7004594803,21.490016937
0.3511367738,3.88637996,473.8190918,10.532951355,21.484375
0.3511367738,3.65678596,473.55480957,11.910259247,21.249782562
0.3511367738,3.64816761,473.29989624,11.528160095,21.010416031
0.3511367738,3.44918227,473.16644287,10.826262474,21
0.3511367738,3.10607624,473.07626343,10.693835258,21
0.3511367738,2.84456968,472.99075317,10.59258461,21
0.3511367738,2.70637131,472.90036011,10.427424431,21
0.3511367738,2.6649406,472.79852295,10.246474266,21.020833969
0.3511367738,2.76746154,472.68096924,10.094740868,21.5
0.3511367738,3.16536713,472.54751587,9.9936037064,21.979166031
0.2465156764,4.63012838,490.76876831,3.1747369766,23.916002274
0.244080931,4.69234276,490.74530029,3.2774019241,23.790018082
0.244080931,4.71215487,490.7144165,3.21585989,23.823719025
0.244080931,4.54641342,490.67507935,3.4001739025,23.952547073
0.244080931,4.22167587,490.62246704,3.8932919502,23.958333969
0.244080931,3.84068441,490.54678345,4.5081262589,23.958333969
0.244080931,3.47458506,490.43939209,5.2217597961,23.958333969
0.244080931,3.08980346,490.29327393,6.022875309,23.958333969
0.244080931,2.86456347,490.10345459,6.9059648514,23.952095032
0.244080931,2.68451095,489.8704834,8.0098009109,23.822101593
0.244080931,2.60108638,489.59014893,9.282749176,23.344327927
